batch_name,status,files_processed,success_rate,successful_files,failed_files,viable_anchors,template_title,duration_seconds,error_count,timestamp
1301 SNFCC/SUBMISSION 27-2-2013,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:39:30.409112
1301 SNFCC/SUBMISSION 28-2-2013,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:39:30.409280
1301 SNFCC/SUBMIT 21-10-2013,failed,9,77.77777777777779,7,2,4,JVIT-COS-10-1-0023-00,4.68,2,2025-10-18T16:39:30.409333
1601 KAPLANKAYA/20160205-KAPLANKAYA_SUBMISSION-01,failed,15,0.0,0,0,0,A0-0110-00,1.9,1,2025-10-18T16:39:35.085630
1601 KAPLANKAYA/20160331-KAPLANKAYA_SUBMISSION-02,failed,41,0.0,0,0,0,A0-0402-00,10.64,1,2025-10-18T16:39:36.986360
1601 KAPLANKAYA/20160425-KAPLANKAYA_SUBMISSION-03,failed,8,0.0,0,0,0,A2-1001-00,1.97,1,2025-10-18T16:39:47.626675
1601 KAPLANKAYA/20160505-KAPLANKAYA_RESUBMISSION-03,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:39:49.596266
1601 KAPLANKAYA/20160513-KAPLANKAYA_SUBMISSION-04,failed,14,0.0,0,0,0,A2-1001-02,2.52,1,2025-10-18T16:39:49.596338
1601 KAPLANKAYA/20160524-KAPLANKAYA_SUBMISSION-05,failed,27,0.0,0,0,0,A0-0720-00,3.9,1,2025-10-18T16:39:52.114784
1601 KAPLANKAYA/20160601-KAPLANKAYA_SUBMISSION-06,failed,27,0.0,0,0,0,A0-0802-01,2.33,1,2025-10-18T16:39:56.014374
1601 KAPLANKAYA/PDF_SUBMISSION 31_03,failed,22,0.0,0,0,0,A0-0000-00,4.68,1,2025-10-18T16:39:58.347133
1602 TAHLIA WALK/1602 SUBMISSIONS,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:03.030687
1602 TAHLIA WALK/160722_Submission REV00,failed,5,0.0,0,0,0,VAP-TW-DWG_SCHEDULE-R00_20160722,2.13,1,2025-10-18T16:40:03.030734
1605 INTRAKAT HOTEL MYKONOS/2016-12-22_FINAL SUB 05,failed,32,0.0,0,0,0,20161222-PLATIS_YALOS_HOTEL-Submission_Sheet-05,1.67,1,2025-10-18T16:40:05.158593
1605 INTRAKAT HOTEL MYKONOS/2017-01-20_sub 06,failed,33,0.0,0,0,0,2017-01-25-PLATIS_YALOS_HOTEL-Submission_Sheet-6,1.99,1,2025-10-18T16:40:06.835180
1605 INTRAKAT HOTEL MYKONOS/2017-01-31 SUBMISSION 06DGW,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:08.830612
1605 INTRAKAT HOTEL MYKONOS/2017-02-01_sub07 pinakas koufomaton,failed,8,0.0,0,0,0,2017-02-01-PLATIS_YALOS_HOTEL-Submission_Sheet-7,0.22,1,2025-10-18T16:40:08.830671
1605 INTRAKAT HOTEL MYKONOS/2017-02-15_sub08,failed,3,0.0,0,0,0,Α1-101-03,0.74,1,2025-10-18T16:40:09.056122
1605 INTRAKAT HOTEL MYKONOS/SUBMISSION 06,failed,33,0.0,0,0,0,2017-01-25-PLATIS_YALOS_HOTEL-Submission_Sheet-6,2.06,1,2025-10-18T16:40:09.797545
1702 XRHMATISTHRIO/SUBMISSIONS,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:40:11.854429
1708 PORTOHELI-II/20180128 CS-DRAFT_SUB_PROM,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:11.854487
1801 EDEN RESORT/20181217-LAN-SUBMISSION,failed,16,0.0,0,0,0,20181217-LAN_ARC_DD_303-00,3.7,1,2025-10-18T16:40:11.854509
1801 EDEN RESORT/20181219-LAN-SUBMISSION,failed,15,0.0,0,0,0,20181219-LAN_ARC_DD_101_00,4.22,1,2025-10-18T16:40:15.550465
1801 EDEN RESORT/20181221-LAN-SUBMISSION,failed,21,0.0,0,0,0,20181221-LAN_ARC_DD_101-00,4.65,1,2025-10-18T16:40:19.770490
1801 EDEN RESORT/20190220-LAN-SUBMISSION,failed,17,0.0,0,0,0,20190220-LAN_ARC_DD-410-00-PINAKAS_KOUFOMATON-ESOT_THIRES,2.69,1,2025-10-18T16:40:24.426264
1801 EDEN RESORT/20190305-LAN-SUBMISSION,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:27.115925
1801 EDEN RESORT/20190307-LAN-SUBMISSION,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:40:27.115972
1801 EDEN RESORT/20190308-LAN-SUBMISSION,failed,6,0.0,0,0,0,20190308-LAN_ARC_DD_401-01-KATOPSI_PISINAS-DAPEDO_RISEIS,0.83,1,2025-10-18T16:40:27.115994
1801 EDEN RESORT/20190312-LAN-SUBMISSION,failed,5,0.0,0,0,0,20190312-LAN_ARC_DD_407_00_OPSEIS-TOMES,1.5,1,2025-10-18T16:40:27.949801
1801 EDEN RESORT/SUBMISSIONS,failed,4,0.0,0,0,0,20181123-LAN_ARC_FD_101_00-MEETING,5.39,1,2025-10-18T16:40:29.452208
1807 ATHENS RESILIENT CITY/20200922_Draft Submission_PDFs,failed,9,0.0,0,0,0,1807_02_A012_rev3,0.0,1,2025-10-18T16:40:34.845054
1807 ATHENS RESILIENT CITY/20200923_Draft Submission_PDFs,failed,7,0.0,0,0,0,1807_02_A012_rev3,0.0,1,2025-10-18T16:40:34.845160
1807 ATHENS RESILIENT CITY/984 FINAL SUBMISSION PHASE 3,failed,30,0.0,0,0,0,1807_03_A101,0.0,1,2025-10-18T16:40:34.845220
1807 ATHENS RESILIENT CITY/AB FINAL SUBMISSION PHASE 3,failed,50,0.0,0,0,0,1807_02_L105_01,0.0,1,2025-10-18T16:40:34.845308
1807 ATHENS RESILIENT CITY/ADRIANOU FINAL SUBMISSION PHASE 3,failed,64,0.0,0,0,0,1807_04_L341,0.0,1,2025-10-18T16:40:34.845424
1807 ATHENS RESILIENT CITY/KOKKEREL FINAL SUBMISSION PHASE 3,failed,64,0.0,0,0,0,1807_09_A212,0.0,1,2025-10-18T16:40:34.845565
1902 CST/20190725 OLIAROS DRAFT SUBMISSION,failed,7,0.0,0,0,0,1902_CST_ARC_Α1-101-00,0.94,1,2025-10-18T16:40:34.845703
1902 CST/20190802_FIRST_SUBMISSION_OLIAROS,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789106
1902 CST/20190930_OLIAROS SUBMISSION_REV1,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789170
1902 CST/20220103 SUBMISSION FOR DOCUMENTATION,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789208
1903 OST/20210119_SUBMISSION REV,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789242
1903 OST/20210318_SUBMISSION REV,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789277
1903 OST/20210611_SUBMISSION REV,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789312
1903 OST/20211115_SUBMISSION REV,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789345
1903 OST/20211203_OST_SUBMISSION REV,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789379
1903 OST/20220408_OST_SUBMISSION PERMIT REVISION,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789411
1904 AGMT/20181030_Design Submission,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789446
1904 AGMT/20200504 DOXIADIS SUBMISSION PRELIMINARY DESIGN,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789479
1904 AGMT/20200714 OLIAROS AGMT DD SUBMISSION,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:40:35.789512
1904 AGMT/20200807 OLIAROS SUBMISSION,failed,26,0.0,0,0,0,AGMT_-_DETAIL_DESIGN_-_LAST_DRAWINGS_20200807,10.9,1,2025-10-18T16:40:35.789549
1904 AGMT/20200827 OLIAROS SUBMISSION,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:40:46.692269
1906 AVL5/20191206_SUBMISSION SA,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:39:30.405554
1906 AVL5/20200526 TETRAS MEP SSUBMISSION ADD ONS,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:39:30.405715
1906 AVL5/20200807 AVL5 Phase A rev 1 FIRST SUBMISSION,skipped,2,0.0,0,0,0,,0.0,1,2025-10-18T16:39:30.405768
1906 AVL5/20210119 OLIAROS Design review of DD Phase B submission,skipped,1,0.0,0,0,0,,0.0,1,2025-10-18T16:39:30.405811
1906 AVL5/SUBMISSION SA,failed,10,0.0,0,0,0,AVL_5_ALL-1-100_ROOFTOP_AVL5-A105,2.63,1,2025-10-18T16:39:30.405851
