batch_name,status,files_processed,success_rate,successful_files,failed_files,viable_anchors,template_title,duration_seconds,error_count,timestamp
1605 INTRAKAT HOTEL MYKONOS/2016-12-22_FINAL SUB 05,failed,32,0.0,0,0,0,20161222-PLATIS_YALOS_HOTEL-Submission_Sheet-05,2.73,1,2025-10-17T11:19:16.679214
1605 INTRAKAT HOTEL MYKONOS/2017-01-20_sub 06,failed,33,0.0,0,0,0,2017-01-25-PLATIS_YALOS_HOTEL-Submission_Sheet-6,2.54,1,2025-10-17T11:19:19.410741
1605 INTRAKAT HOTEL MYKONOS/2017-01-31 SUBMISSION 06DGW,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:19:21.955654
1605 INTRAKAT HOTEL MYKONOS/2017-02-01_sub07 pinakas koufomaton,failed,8,0.0,0,0,0,2017-02-01-PLATIS_YALOS_HOTEL-Submission_Sheet-7,0.37,1,2025-10-17T11:19:21.955932
1605 INTRAKAT HOTEL MYKONOS/2017-02-15_sub08,failed,3,0.0,0,0,0,Α1-101-03,0.74,1,2025-10-17T11:19:22.326099
1605 INTRAKAT HOTEL MYKONOS/PDF,failed,75,0.0,0,0,0,Α1-303-00,5.43,1,2025-10-17T11:19:23.064003
1605 INTRAKAT HOTEL MYKONOS/SUBMISSION 06,failed,33,0.0,0,0,0,2017-01-25-PLATIS_YALOS_HOTEL-Submission_Sheet-6,2.55,1,2025-10-17T11:19:28.496397
1605 INTRAKAT HOTEL MYKONOS/existing,failed,7,0.0,0,0,0,ΚΑΤΟΨΗ_ΙΣΟΓΕΙΟΥ_-_ΥΠΑΡΧΟΥΣΑ_ΚΑΤΑΣΤΑΣΗ,0.36,1,2025-10-17T11:19:31.047877
1605 INTRAKAT HOTEL MYKONOS/old revisions,partial,32,90.625,29,3,1,Α-001-00,3.44,3,2025-10-17T11:19:31.406092
1605 INTRAKAT HOTEL MYKONOS/proposal,failed,11,0.0,0,0,0,247_P_pln_00-A3,2.09,1,2025-10-17T11:19:34.848645
1701 PORTOHELI/2017-10-18,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:19:36.941951
1701 PORTOHELI/2017-11-02_REV,failed,38,0.0,0,0,0,A103-01,14.12,1,2025-10-17T11:19:36.942218
1701 PORTOHELI/2017-11-17 REV01,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:19:51.068395
1701 PORTOHELI/2017-12-20,failed,14,0.0,0,0,0,A101-02,3.87,1,2025-10-17T11:19:51.071214
1701 PORTOHELI/2017-12-22,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:19:54.941115
1701 PORTOHELI/2018-01-08,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:19:54.941567
1701 PORTOHELI/2018-01-22,failed,19,0.0,0,0,0,Λ400-00,3.05,1,2025-10-17T11:19:54.941852
1701 PORTOHELI/2018-01-23,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:19:57.996137
1701 PORTOHELI/2018-01-31,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:19:57.996523
1701 PORTOHELI/PDF,failed,201,0.0,0,0,0,A001-00,58.08,1,2025-10-17T11:19:57.996791
1701 PORTOHELI/ΓΕΝΙΚΑ ΣΧΕΔΙΑ - PDF,failed,39,0.0,0,0,0,A400-00,18.46,1,2025-10-17T11:20:56.084416
1701 PORTOHELI/ΛΕΠΤΟΜΕΡΕΙΕΣ - PDF,failed,111,0.0,0,0,0,Λ000-01,8.79,1,2025-10-17T11:21:14.543519
1702 XRHMATISTHRIO/2017-02-09,failed,19,0.0,0,0,0,20170209-AXONOMETRIC_PLAN-00,1.64,1,2025-10-17T11:21:23.331495
1702 XRHMATISTHRIO/2017-02-13,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:21:24.970950
1702 XRHMATISTHRIO/2017-02-20,failed,11,0.0,0,0,0,VAP-OXA-A01-PLAN00-20170220,0.77,1,2025-10-17T11:21:24.971360
1702 XRHMATISTHRIO/2017-03-16,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:21:25.742115
1702 XRHMATISTHRIO/2017-03-17,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:21:25.742441
1702 XRHMATISTHRIO/2017-03-20,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:21:25.742631
1702 XRHMATISTHRIO/2017-03-21,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:21:25.742822
1702 XRHMATISTHRIO/2017-03-22,failed,3,0.0,0,0,0,VAP-OXA_20170322-DRAFT-1,0.89,1,2025-10-17T11:21:25.743013
1702 XRHMATISTHRIO/2017-03-23,skipped,2,0.0,0,0,0,,0.07,1,2025-10-17T11:21:26.634888
1702 XRHMATISTHRIO/2017-03-24,failed,4,0.0,0,0,0,OXA_-_PINAKES_A3-DRAFT,1.9,1,2025-10-17T11:21:26.702719
1702 XRHMATISTHRIO/A1,failed,11,0.0,0,0,0,A01,0.0,1,2025-10-17T11:21:28.603328
1702 XRHMATISTHRIO/DOCUMENTS,failed,3,0.0,0,0,0,ΟΧΑ-ΤΕΧΝΙΚΗ_ΠΕΡΙΓΡΑΦΗ-PSVC,0.54,1,2025-10-17T11:21:28.604107
1702 XRHMATISTHRIO/FINAL,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:21:29.141551
1702 XRHMATISTHRIO/OXA-FINAL_PRESENTATION,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:21:29.141994
1702 XRHMATISTHRIO/PDF,failed,13,0.0,0,0,0,YF01_-_ΚΑΤΟΨΗ_ΙΣΟΓΕΙΟΥ,0.83,1,2025-10-17T11:21:29.142216
1702 XRHMATISTHRIO/SUBMISSIONS,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:21:29.968039
1702 XRHMATISTHRIO/Α3,failed,27,0.0,0,0,0,12-ΕΝΑΛΛΑΚΤΙΚΕΣ-ΕΚΔΗΛΩΣΕΙΣ_,1.58,1,2025-10-17T11:21:29.968380
1702 XRHMATISTHRIO/ΕΞΩΦΥΛΛΑ,failed,4,0.0,0,0,0,COVER-ΚΑΤΑΛΟΓΟΣ_ΥΛΙΚΩΝ,0.12,1,2025-10-17T11:21:31.552484
1707 ΔΗΜΑΡΧΕΙΟ ΧΑΛΑΝΔΡΙΟΥ/20171030 PDF,failed,19,0.0,0,0,0,1707-Α705-00,1.44,1,2025-10-17T11:21:31.671375
1707 ΔΗΜΑΡΧΕΙΟ ΧΑΛΑΝΔΡΙΟΥ/20180725,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:21:33.107045
1707 ΔΗΜΑΡΧΕΙΟ ΧΑΛΑΝΔΡΙΟΥ/PDF,failed,26,0.0,0,0,0,1707-A701-00,4.6,1,2025-10-17T11:21:33.107446
1708 PORTOHELI-II/1708_PORTOHELI_II_PDF_OM,failed,16,0.0,0,0,0,ΟΜ101,0.0,1,2025-10-17T11:21:37.706826
1708 PORTOHELI-II/20180128 CS-DRAFT_SUB_PROM,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:21:37.708238
1801 EDEN RESORT/20180516_REV_00,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:21:37.708403
1801 EDEN RESORT/20180523_REV00_BGA,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:21:37.708587
1801 EDEN RESORT/20180803_BGB_2ND_FLOOR,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:21:37.708753
1801 EDEN RESORT/20180803_REV01_BGB,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:21:37.708962
1801 EDEN RESORT/20181003_LAN_PREVIEW ORISTIKI,failed,13,0.0,0,0,0,LAN_ARC_FD_101_00,0.0,1,2025-10-17T11:21:37.709190
1801 EDEN RESORT/20181213,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:21:37.710057
1801 EDEN RESORT/20181217-LAN-SUBMISSION,failed,16,0.0,0,0,0,20181217-LAN_ARC_DD_303-00,4.74,1,2025-10-17T11:21:37.710221
1801 EDEN RESORT/20181219-LAN-SUBMISSION,failed,15,0.0,0,0,0,20181219-LAN_ARC_DD_101_00,4.89,1,2025-10-17T11:21:42.450566
1801 EDEN RESORT/20181221-LAN-SUBMISSION,failed,21,0.0,0,0,0,20181221-LAN_ARC_DD_101-00,5.86,1,2025-10-17T11:21:47.343377
1801 EDEN RESORT/20190220-LAN-SUBMISSION,failed,17,0.0,0,0,0,20190220-LAN_ARC_DD-410-00-PINAKAS_KOUFOMATON-ESOT_THIRES,4.34,1,2025-10-17T11:21:53.203493
1801 EDEN RESORT/20190305-LAN-SUBMISSION,skipped,1,0.0,0,0,0,,0.01,1,2025-10-17T11:21:57.547683
1801 EDEN RESORT/20190307-LAN-SUBMISSION,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:21:57.560662
1801 EDEN RESORT/20190308-LAN-SUBMISSION,failed,6,0.0,0,0,0,20190308-LAN_ARC_DD_401-01-KATOPSI_PISINAS-DAPEDO_RISEIS,0.94,1,2025-10-17T11:21:57.561174
1801 EDEN RESORT/20190312-LAN-SUBMISSION,failed,5,0.0,0,0,0,20190312-LAN_ARC_DD_407_00_OPSEIS-TOMES,1.94,1,2025-10-17T11:21:58.505510
